strategy,node_id,body_zone,actuator_type,final_PT,final_PE,final_PSM,final_NPSM,final_TU,final_state,battery_level_pct,radio_active_time_s,energy_consumed_j,packet_count,allocated_sync_interval_ms,allocated_beacon_interval_ms,allocated_radio_wakeup_interval_ms,allocated_transmit_power_pct,allocated_trigger_offset_ms
PSM-Adaptive,HN-015,Torso,ERM,77.175,41.2800181936482,35.894981806351794,0.4651115232439494,53.48884767560506,NOMINAL,97.30888000000127,2.704000000000002,2.9555999999999867,0,1300.0,60.0,250.0,50.0,-19.29
PSM-Adaptive,HN-016,Torso,ERM,77.175,59.98353908022963,17.191460919770364,0.2227594547427323,77.72405452572677,ELEVATED,85.8185599999999,5.688000000000004,4.4071999999999845,0,650.0,40.0,100.0,80.0,-32.88
PSM-Adaptive,HN-017,Torso,ERM,77.175,40.076361737805584,37.09863826219441,0.48070797877802934,51.92920212219707,NOMINAL,86.98036000000037,4.088000000000003,3.598199999999996,0,1300.0,60.0,250.0,50.0,-16.58
PSM-Adaptive,HN-018,Torso,ERM,77.175,33.03824366697319,44.13675633302681,0.571904843965362,42.8095156034638,RELAXED,95.83600000000146,2.4000000000000017,2.819999999999991,0,2600.0,100.0,500.0,20.0,-14.34
PSM-Adaptive,HN-019,Torso,ERM,77.175,35.25433643300288,41.92066356699712,0.5431896801684111,45.681031983158896,NOMINAL,98.25488000000088,3.3040000000000025,3.22559999999999,0,1300.0,60.0,250.0,50.0,-13.05
PSM-Adaptive,HN-020,Torso,ERM,77.175,11.869615186171593,65.3053848138284,0.8461987018312718,15.380129816872815,RELAXED,85.64624000000082,3.3920000000000026,3.2687999999999904,0,2600.0,100.0,500.0,20.0,-8.78
PSM-Adaptive,HN-021,Leg,ERM,71.66250000000001,26.30887783846398,45.35362216153602,0.6328780346978687,36.71219653021312,RELAXED,92.52896000000071,3.5680000000000027,3.355199999999983,0,2200.0,100.0,500.0,20.0,-13.79
PSM-Adaptive,HN-022,Leg,ERM,71.66250000000001,34.0612639908837,37.601236009116306,0.5246989151804123,47.53010848195876,NOMINAL,87.34108000000077,3.4640000000000026,3.294599999999984,0,1100.0,60.0,250.0,50.0,-22.34
PSM-Adaptive,HN-023,Leg,ERM,71.66250000000001,16.339070507655236,55.32342949234477,0.7719997138300334,22.800028616996666,RELAXED,87.83600000000146,2.4000000000000017,2.819999999999991,0,2200.0,100.0,500.0,20.0,-13.58
PSM-Adaptive,HN-024,Leg,ERM,71.66250000000001,26.693811258680103,44.96868874131991,0.6275065583997196,37.249344160028045,RELAXED,87.7995200000012,2.816000000000002,3.0023999999999966,0,2200.0,100.0,500.0,20.0,-14.52
PSM-Adaptive,HN-025,Leg,ERM,71.66250000000001,36.720634516079336,34.94186548392067,0.48758926194202923,51.24107380579708,NOMINAL,86.3013600000005,3.888000000000003,3.493199999999987,0,1100.0,60.0,250.0,50.0,-25.2
PSM-Adaptive,HN-026,Leg,ERM,71.66250000000001,33.126752146413374,38.535747853586635,0.5377393735019937,46.22606264980062,NOMINAL,85.68255999999991,5.088000000000004,4.087199999999985,0,1100.0,60.0,250.0,50.0,-26.7
PSM-Adaptive,HN-027,Foot,ERM,55.125,25.64606892825923,29.47893107174077,0.5347651895100367,46.52348104899634,NOMINAL,85.71399999999991,4.800000000000003,3.929999999999986,0,1200.0,60.0,250.0,50.0,-13.69
PSM-Adaptive,HN-028,Foot,ERM,55.125,31.213775314533912,23.911224685466088,0.4337637131150311,56.62362868849689,NOMINAL,90.50127999999991,4.9440000000000035,3.993599999999988,0,1200.0,60.0,250.0,50.0,-24.99
PSM-Adaptive,HN-029,Foot,ERM,55.125,54.32297506276945,0.8020249372305486,0.014549205210531494,98.54507947894685,ELEVATED,84.34327999999984,10.943999999999944,7.283599999999933,0,600.0,40.0,100.0,80.0,-29.18
PSM-Adaptive,HN-030,Foot,ERM,55.125,22.511982129889375,32.613017870110625,0.59161937179339,40.838062820660994,NOMINAL,91.51399999999991,4.800000000000003,3.929999999999986,0,1200.0,60.0,250.0,50.0,-18.59
